	GE	LEMP	error
6	1383.36	1389	0.766018719
7	1400.79	1409.6	0.979710556
8	1383.96	1401.9	1.636350667
9	1400.79	1409.7	0.986734766
10	1383.36	1389.5	0.80172724
11	1583.07	1615	3.834674923
12	1501.55	1544.4	4.717042217
13	1624.8	1687.8	5.510131532
14	1501.55	1546.2	4.827965334
15	1583.07	1615.5	3.864438254
16	1541.09	1566.3	3.524867522
17	1454.75	1458.7	2.327414821
18	1443.99	1515.9	6.722738967
19	1454.75	1457.2	2.226873456
20	1541.09	1566.6	3.54334227
21	1605.29	1611.3	2.234841432
22	1566.66	1610	4.555279503
23	1597.42	1665.4	5.883271286
24	1566.66	1611.7	4.655953341
25	1605.29	1613.3	2.356040414
